Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,location,City,Base_Model,DemandScore
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,Pune,Mumbai,ritz,90
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,Jaipur,Chennai,sx4,66
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,Kolkata,Chennai,ciaz,92
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,Bangalore,Jaipur,wagon r,95
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,Lucknow,Hyderabad,swift,92
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,Hyderabad,Pune,vitara brezza,47
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,Ahmedabad,Jaipur,ciaz,33
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,Mumbai,Pune,s cross,58
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,Kolkata,Kolkata,ciaz,77
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,Hyderabad,Kolkata,ciaz,77
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,Bangalore,Chennai,alto 800,73
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,Kolkata,Hyderabad,ciaz,44
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,Mumbai,Mumbai,ciaz,83
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,Bangalore,Jaipur,ertiga,67
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,Chennai,Pune,dzire,73
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,Jaipur,Lucknow,ertiga,87
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,Chennai,Kolkata,ertiga,53
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,Delhi,Delhi,ertiga,83
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,Bangalore,Jaipur,wagon r,95
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,Mumbai,Ahmedabad,sx4,39
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,Pune,Jaipur,alto k10,38
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,Chennai,Pune,ignis,94
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,Delhi,Kolkata,sx4,77
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,Pune,Pune,alto k10,53
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,Ahmedabad,Delhi,wagon r,45
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,Hyderabad,Delhi,swift,58
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,Delhi,Kolkata,swift,86
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,Hyderabad,Hyderabad,swift,92
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,Kolkata,Kolkata,alto k10,42
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,Chennai,Lucknow,ciaz,94
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,Delhi,Hyderabad,ritz,35
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,Jaipur,Hyderabad,ritz,35
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,Lucknow,Hyderabad,swift,92
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,Chennai,Kolkata,ertiga,53
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,Pune,Bangalore,dzire,40
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,Bangalore,Chennai,sx4,66
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,Pune,Mumbai,dzire,88
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,Jaipur,Lucknow,800,46
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,Jaipur,Kolkata,alto k10,42
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,Lucknow,Hyderabad,sx4,53
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,Pune,Kolkata,baleno,63
